Yakima, WA#Reno, NV
Toronto, ON#Rochester, NY
San Bernardino, CA#Santa Ana, CA
Saint Augustine, FL#Wilmington, NC
South Bend, IN#Saint Joseph, MI
San Jose, CA#Salinas, CA
Victoria, TX#Waco, TX
Williamsport, PA#Reading, PA
Savannah, GA#Swainsboro, GA
Richmond, IN#Springfield, IL
San Francisco, CA#San Bernardino, CA
San Diego, CA#San Bernardino, CA
Salida, CO#Trinidad, CO
Saint Paul, MN#Valley City, ND
Richfield, UT#San Diego, CA
Scranton, PA#Watertown, NY
Tuscaloosa, AL#Selma, AL
Trenton, NJ#Winchester, VA
Salisbury, MD#Reading, PA
Sacramento, CA#San Bernardino, CA
Uniontown, PA#Steubenville, OH
Springfield, IL#Terre Haute, IN
Santa Barbara, CA#Reno, NV
Wausau, WI#South Bend, IN
Sacramento, CA#Stockton, CA
Williamsport, PA#Uniontown, PA
San Diego, CA#Santa Ana, CA
Seattle, WA#Reno, NV
Tacoma, WA#Reno, NV
Walla Walla, WA#Spokane, WA
Tampa, FL#Tuscaloosa, AL
Seattle, WA#Vancouver, BC
Swainsboro, GA#Waycross, GA
Vicksburg, MS#Shreveport, LA
Winston-Salem, NC#Roanoke, VA
Santa Ana, CA#San Diego, CA
Rochester, MN#Waterloo, IA
Waycross, GA#Wilmington, NC
Waterloo, IA#Rockford, IL
Scottsbluff, NE#Sheridan, WY
Winchester, VA#Washington, DC
Tulsa, OK#Tyler, TX
Youngstown, OH#Rochester, NY
Texarkana, TX#Shreveport, LA
Waterbury, CT#Worcester, MA
Santa Rosa, CA#San Francisco, CA
Red Bluff, CA#Sacramento, CA
Valdosta, GA#Tuscaloosa, AL
Saint Louis, MO#Vincennes, IN
Wisconsin Dells, WI#Saint Cloud, MN
Seattle, WA#Tacoma, WA
Salida, CO#Santa Fe, NM
Watertown, NY#Waterbury, CT
Watertown, SD#Yankton, SD
Salisbury, MD#Wilmington, DE
Williston, ND#Saint Paul, MN
Schenectady, NY#Utica, NY
Waycross, GA#Swainsboro, GA
Rockford, IL#Waukegan, IL
Staunton, VA#Steubenville, OH
Toronto, ON#Sandusky, OH
Rocky Mount, NC#Reading, PA
San Bernardino, CA#San Diego, CA
Rochester, MN#Watertown, SD
Roswell, NM#San Angelo, TX
Springfield, IL#Saint Louis, MO
Tampa, FL#Sarasota, FL
Sumter, SC#Wilmington, NC
Salina, KS#Sterling, CO
Traverse City, MI#Saginaw, MI
Syracuse, NY#Utica, NY
Richfield, UT#Salt Lake City, UT
Rock Springs, WY#Richfield, UT
Rochester, NY#Syracuse, NY
Valdosta, GA#Tallahassee, FL
Tallahassee, FL#Valdosta, GA
Sacramento, CA#San Francisco, CA
Valdosta, GA#Waycross, GA
Worcester, MA#Wilmington, DE
Reno, NV#Santa Ana, CA
Regina, SK#Spokane, WA
Vancouver, BC#Tacoma, WA
Waukegan, IL#South Bend, IN
Spokane, WA#Red Bluff, CA
Watertown, NY#Utica, NY
Stockton, CA#Sacramento, CA
Topeka, KS#Saint Joseph, MO
Victoria, TX#Tulsa, OK
Vicksburg, MS#Tallahassee, FL
Sedalia, MO#Springfield, MO
Sarasota, FL#Tuscaloosa, AL
Sandusky, OH#Uniontown, PA
Vicksburg, MS#Tupelo, MS
Trenton, NJ#Wilmington, DE
Winchester, VA#Trenton, NJ
Wheeling, WV#Uniontown, PA
Saint Augustine, FL#Waycross, GA
Stroudsburg, PA#Scranton, PA
Tucson, AZ#San Bernardino, CA
Saint Johnsbury, VT#Worcester, MA
Springfield, MO#Tulsa, OK
Yankton, SD#Sioux Falls, SD
San Antonio, TX#Waco, TX
Waycross, GA#Valdosta, GA
Washington, DC#Winchester, VA
San Diego, CA#Reno, NV
Saint Augustine, FL#Valdosta, GA
Steubenville, OH#Richmond, IN
Red Bluff, CA#Santa Ana, CA
Rochester, NY#Ravenna, OH
Springfield, MO#Sedalia, MO
Sault Sainte Marie, MI#Traverse City, MI
Spokane, WA#Walla Walla, WA
Wichita Falls, TX#Roswell, NM
Wausau, WI#Rhinelander, WI
Ravenna, OH#Winchester, VA
Stevens Point, WI#Wisconsin Dells, WI
Red Bluff, CA#Weed, CA
Winnipeg, MB#Valley City, ND
Twin Falls, ID#Salt Lake City, UT
Saint Johnsbury, VT#Trenton, NJ
Topeka, KS#Sioux Falls, SD
Wilmington, DE#Trenton, NJ
Salinas, CA#San Jose, CA
Sioux Falls, SD#Wisconsin Dells, WI
Wichita, KS#Salina, KS
Selma, AL#Tuscaloosa, AL
Yankton, SD#Sioux City, IA
Sherman, TX#Springfield, MO
Warren, PA#Scranton, PA
Salem, OR#Sacramento, CA
South Bend, IN#Springfield, IL
Stroudsburg, PA#Trenton, NJ
Sumter, SC#Savannah, GA
Regina, SK#Winnipeg, MB
Stevens Point, WI#Wausau, WI
Reading, PA#Stroudsburg, PA
West Palm Beach, FL#Tampa, FL
Tupelo, MS#Selma, AL
Wichita Falls, TX#Seminole, OK
Salem, OR#Tacoma, WA
Tuscaloosa, AL#Vincennes, IN
San Francisco, CA#Santa Rosa, CA
Tulsa, OK#Wichita, KS
Selma, AL#Sumter, SC
Warren, PA#Ravenna, OH
Rhinelander, WI#Stevens Point, WI
Waco, TX#Sherman, TX
Sherman, TX#Wichita Falls, TX
Scranton, PA#Stroudsburg, PA
Winnipeg, MB#Rhinelander, WI
Springfield, IL#Waterloo, IA
Springfield, MA#Worcester, MA
Wenatchee, WA#Seattle, WA
Tallahassee, FL#Waycross, GA
Williston, ND#Regina, SK
Twin Falls, ID#Rock Springs, WY
Santa Ana, CA#San Bernardino, CA
Shreveport, LA#Texarkana, TX
Waukegan, IL#Richmond, IN
Sioux Falls, SD#Yankton, SD
Richmond, VA#Washington, DC
Santa Ana, CA#Reno, NV
Wisconsin Dells, WI#Stevens Point, WI
Watertown, NY#Syracuse, NY
Sterling, CO#Scottsbluff, NE
Valley City, ND#Watertown, SD
Washington, DC#Rocky Mount, NC
Tyler, TX#San Angelo, TX
Saint Joseph, MI#South Bend, IN
Texarkana, TX#Tyler, TX
Tupelo, MS#Tallahassee, FL
Reading, PA#Richmond, VA
Swainsboro, GA#Tuscaloosa, AL
Youngstown, OH#Ravenna, OH
Winchester, VA#Staunton, VA
Waterloo, IA#Yankton, SD
Sioux City, IA#Sioux Falls, SD
Vincennes, IN#Saint Louis, MO
West Palm Beach, FL#Wilmington, NC
Trenton, NJ#Stroudsburg, PA
San Antonio, TX#Victoria, TX
Steubenville, OH#Youngstown, OH
Wilmington, DE#Reading, PA
Saint Joseph, MO#Yankton, SD
Salinas, CA#Weed, CA
Saint Cloud, MN#Rochester, MN
San Bernardino, CA#Santa Rosa, CA
Watertown, SD#Stevens Point, WI
Rocky Mount, NC#Wilmington, NC
Santa Fe, NM#Trinidad, CO
Scranton, PA#Williamsport, PA
Wichita Falls, TX#Sherman, TX
Terre Haute, IN#Richmond, IN
Ravenna, OH#Steubenville, OH
San Angelo, TX#Tulsa, OK
Tacoma, WA#Seattle, WA
Texarkana, TX#Victoria, TX
Saginaw, MI#Youngstown, OH
Rochester, NY#Watertown, NY
Syracuse, NY#Waterbury, CT
San Angelo, TX#Waco, TX
Saint Joseph, MO#Topeka, KS
Sheridan, WY#Twin Falls, ID
Utica, NY#Schenectady, NY
Staunton, VA#Roanoke, VA
Trinidad, CO#Santa Fe, NM
Spokane, WA#Wenatchee, WA
South Bend, IN#Waukegan, IL
Saint Paul, MN#Rochester, MN
Wisconsin Dells, WI#Wausau, WI
Springfield, OH#Toledo, OH
Trinidad, CO#Rock Springs, WY
Regina, SK#Williston, ND
Valley City, ND#Saint Cloud, MN
Richmond, IN#Springfield, OH
Waukegan, IL#Rockford, IL
Roswell, NM#Wichita, KS
Saint Louis, MO#South Bend, IN
Yakima, WA#Wenatchee, WA
Tallahassee, FL#West Palm Beach, FL
Sumter, SC#Staunton, VA
Santa Fe, NM#Roswell, NM
Youngstown, OH#Steubenville, OH
Saint Joseph, MI#Waukegan, IL
Walla Walla, WA#Reno, NV
Sherman, TX#Seminole, OK
Sandusky, OH#Ravenna, OH
Rock Springs, WY#Yankton, SD
Roanoke, VA#Wheeling, WV
Waterloo, IA#Rochester, MN
Vincennes, IN#Terre Haute, IN
Traverse City, MI#Springfield, OH
Sterling, CO#Topeka, KS
Sedalia, MO#Saint Joseph, MO
Wenatchee, WA#Reno, NV
Salinas, CA#San Francisco, CA
Worcester, MA#Springfield, MA
Richmond, VA#Staunton, VA
Saint Joseph, MI#Springfield, IL
San Francisco, CA#San Jose, CA
Ravenna, OH#Youngstown, OH
Salem, OR#Yakima, WA
Worcester, MA#Waterbury, CT
Salt Lake City, UT#Rock Springs, WY
Rutland, VT#Rochester, NY
Santa Rosa, CA#San Bernardino, CA
Savannah, GA#Waycross, GA
Sheridan, WY#Scottsbluff, NE
Seminole, OK#Tulsa, OK
Scottsbluff, NE#Watertown, SD
Terre Haute, IN#Vincennes, IN
Santa Rosa, CA#San Jose, CA
Weed, CA#Yakima, WA
Watertown, SD#Sioux Falls, SD
Shreveport, LA#Tyler, TX
Selma, AL#Tupelo, MS
Rhinelander, WI#Wausau, WI
San Jose, CA#San Francisco, CA
Williston, ND#Valley City, ND
Roanoke, VA#Staunton, VA
Vancouver, BC#Seattle, WA
Savannah, GA#Sarasota, FL
Saint Cloud, MN#Saint Paul, MN
Topeka, KS#Salina, KS
Stockton, CA#San Bernardino, CA
Reno, NV#Sacramento, CA
Sault Sainte Marie, MI#Sandusky, OH
Yakima, WA#Walla Walla, WA
Winston-Salem, NC#Rocky Mount, NC
Richfield, UT#Rock Springs, WY
Schenectady, NY#Rochester, NY
Toledo, OH#Springfield, OH
Roanoke, VA#Winston-Salem, NC
Syracuse, NY#Watertown, NY
Vancouver, BC#Reno, NV
Stevens Point, WI#Saint Joseph, MI
Tupelo, MS#Tuscaloosa, AL
San Angelo, TX#San Antonio, TX
Shreveport, LA#San Antonio, TX
Seminole, OK#Sherman, TX
Stockton, CA#San Jose, CA
Toledo, OH#Sandusky, OH
Stroudsburg, PA#Springfield, MA
Santa Barbara, CA#Santa Ana, CA
Saint Joseph, MO#Sedalia, MO
Trinidad, CO#Salida, CO
West Palm Beach, FL#Sarasota, FL
